Class,Model,AUROC_sample,AUROC_pixel,AUPRO_pixel
carpet,resnet18,0.9956,0.9827,0.9513
carpet,resnet18,0.9956,0.9827,0.9513
carpet,resnet18,0.9956,0.9827,0.9513
carpet,resnet18,0.9956,0.9827,0.9513
carpet,resnet18,0.9956,0.9827,0.9513
carpet,resnet18,0.9956,0.9827,0.9513
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.9827,0.9513
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
carpet,resnet18,0.9956,0.0,0.0
leather,resnet18,0.9993,0.0,0.0
carpet,resnet34,0.9988,0.0,0.0
leather,resnet34,0.999,0.0,0.0
carpet,resnet50,0.9884,0.0,0.0
leather,resnet50,1.0,0.0,0.0
leather,wide_resnet50_2,1.0,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
carpet,resnet50,0.9884,0.0,0.0
carpet,wide_resnet101_2,0.9968,0.0,0.0
carpet,wide_resnet101_2,0.9968,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
leather,wide_resnet50_2,1.0,0.0,0.0
leather,wide_resnet50_2,1.0,0.0,0.0
carpet,wide_resnet50_2,0.9996,0.0,0.0
carpet,wide_resnet101_2,0.9968,0.0,0.0
leather,wide_resnet101_2,1.0,0.0,0.0
